,날짜,디바이스,유입경로,키워드,노출수,유입수,유입률(%),체류시간(min),평균체류시간(min),페이지뷰,평균페이지뷰,이탈수,이탈률(%),회원가입,전환율(가입),앱 다운,전환율(앱),구독,전환율(구독),전환수,전환율
,2023-01-01,PC,직접 유입,,0,55,0,454,8.254545455,194,3.527272727,6,10.90909091,2,3.636363636,5,9.090909091,10,18.18181818,17,30.90909091
,2023-01-01,PC,키워드 검색,환경 캠페인,307,6,1.954397394,180,30,384,64,0,0,10,166.6666667,10,166.6666667,4,66.66666667,24,400
,2023-01-01,PC,키워드 검색,플로깅,673,43,6.389301634,301,7,163,3.790697674,4,9.302325581,9,20.93023256,3,6.976744186,10,23.25581395,22,51.1627907
,2023-01-01,PC,키워드 검색,재활용 앱,230,31,13.47826087,43,1.387096774,267,8.612903226,0,0,4,12.90322581,9,29.03225806,2,6.451612903,15,48.38709677
,2023-01-01,PC,블로그,,868,6,0.69124424,30,5,104,17.33333333,4,66.66666667,5,83.33333333,8,133.3333333,8,133.3333333,21,350
,2023-01-01,PC,카페,,151,81,53.64238411,414,5.111111111,280,3.456790123,1,1.234567901,5,6.172839506,4,4.938271605,7,8.641975309,16,19.75308642
,2023-01-01,PC,이메일,,839,51,6.078665077,191,3.745098039,389,7.62745098,10,19.60784314,6,11.76470588,1,1.960784314,2,3.921568627,9,17.64705882
,2023-01-01,PC,카카오톡,,697,73,10.47345768,481,6.589041096,498,6.821917808,0,0,0,0,1,1.369863014,7,9.589041096,8,10.95890411
,2023-01-01,PC,메타,,996,13,1.305220884,70,5.384615385,419,32.23076923,1,7.692307692,7,53.84615385,3,23.07692308,4,30.76923077,14,107.6923077
,2023-01-01,PC,인스타그램,,399,33,8.270676692,209,6.333333333,151,4.575757576,9,27.27272727,0,0,7,21.21212121,9,27.27272727,16,48.48484848
,2023-01-01,PC,유튜브,,529,35,6.616257089,481,13.74285714,367,10.48571429,4,11.42857143,3,8.571428571,5,14.28571429,4,11.42857143,12,34.28571429
,2023-01-01,PC,배너 광고,,132,17,12.87878788,360,21.17647059,375,22.05882353,10,58.82352941,0,0,2,11.76470588,2,11.76470588,4,23.52941176
,2023-01-01,PC,트위터 X,,900,17,1.888888889,120,7.058823529,436,25.64705882,9,52.94117647,8,47.05882353,5,29.41176471,4,23.52941176,17,100
,2023-01-01,PC,기타 SNS,,130,62,47.69230769,359,5.790322581,55,0.887096774,6,9.677419355,2,3.225806452,5,8.064516129,0,0,7,11.29032258
,2023-01-01,Mobile,직접 유입,,0,78,0,173,2.217948718,56,0.717948718,4,5.128205128,3,3.846153846,0,0,7,8.974358974,10,12.82051282
,2023-01-01,Mobile,키워드 검색,플로깅,197,50,25.38071066,124,2.48,441,8.82,6,12,3,6,4,8,7,14,14,28
,2023-01-01,Mobile,키워드 검색,쓰레기 줍기,833,98,11.76470588,157,1.602040816,121,1.234693878,2,2.040816327,8,8.163265306,1,1.020408163,4,4.081632653,13,13.26530612
,2023-01-01,Mobile,키워드 검색,친환경 활동,452,99,21.90265487,6,0.0606060606,397,4.01010101,8,8.080808081,0,0,6,6.060606061,4,4.04040404,10,10.1010101
,2023-01-01,Mobile,블로그,,288,19,6.597222222,276,14.52631579,239,12.57894737,9,47.36842105,7,36.84210526,6,31.57894737,0,0,13,68.42105263
,2023-01-01,Mobile,카페,,44,42,95.45454545,158,3.761904762,218,5.19047619,6,14.28571429,9,21.42857143,4,9.523809524,1,2.380952381,14,33.33333333
,2023-01-01,Mobile,이메일,,721,12,1.664355062,181,15.08333333,199,16.58333333,2,16.66666667,8,66.66666667,5,41.66666667,1,8.333333333,14,116.6666667
,2023-01-01,Mobile,카카오톡,,221,12,5.429864253,314,26.16666667,31,2.583333333,9,75,8,66.66666667,5,41.66666667,0,0,13,108.3333333
,2023-01-01,Mobile,메타,,193,51,26.42487047,336,6.588235294,355,6.960784314,4,7.843137255,7,13.7254902,3,5.882352941,3,5.882352941,13,25.49019608
